   pc   mr     e        isp
100.0  9.0  20.0 267.417750
100.0  9.0  30.0 282.255707
100.0  9.0  40.0 274.950742
100.0  9.0  50.0 281.588539
100.0  9.0  60.0 283.607273
100.0  9.0  70.0 295.224178
100.0  9.0  80.0 282.561571
100.0  9.0  90.0 278.694605
100.0  9.0 100.0 300.672486
100.0 10.0  10.0 241.123626
100.0 10.0  20.0 270.197123
100.0 10.0  30.0 272.542001
100.0 10.0  40.0 283.914250
100.0 10.0  50.0 268.315625
100.0 10.0  60.0 280.149584
100.0 10.0  70.0 271.615861
100.0 10.0  80.0 270.826757
100.0 10.0  90.0 286.851174
100.0 10.0 100.0 272.734173
150.0  1.0  10.0 257.321913
150.0  1.0  20.0 266.818191
150.0  1.0  30.0 268.783776
150.0  1.0  40.0 279.373690
150.0  1.0  50.0 265.751268
150.0  1.0  60.0 265.400469
150.0  1.0  70.0 277.566920
150.0  1.0  80.0 288.391586
150.0  1.0  90.0 289.962479
150.0  1.0 100.0 288.338048
150.0  2.0  10.0 300.626807
150.0  2.0  20.0 327.743334
150.0  2.0  30.0 320.735597
150.0  2.0  40.0 334.629595
150.0  2.0  50.0 323.486886
150.0  2.0  60.0 329.730031
150.0  2.0  70.0 323.568396
150.0  2.0  80.0 328.120712
150.0  2.0  90.0 329.460831
150.0  2.0 100.0 349.639613
150.0  3.0  10.0 321.057819
150.0  3.0  20.0 351.720442
150.0  3.0  30.0 365.914582
150.0  3.0  40.0 377.151043
150.0  3.0  50.0 365.919378
150.0  3.0  60.0 357.823859
150.0  3.0  70.0 359.165269
150.0  3.0  80.0 388.113517
150.0  3.0  90.0 389.773286
150.0  3.0 100.0 371.213301
150.0  4.0  10.0 325.489908
150.0  4.0  20.0 325.119996
150.0  4.0  30.0 336.827749
150.0  4.0  40.0 364.265161
150.0  4.0  50.0 366.024425
150.0  4.0  60.0 367.770874
150.0  4.0  70.0 365.843442
150.0  4.0  80.0 373.437280
150.0  4.0  90.0 368.674587
150.0  4.0 100.0 362.636730
150.0  5.0  10.0 316.453431
150.0  5.0  20.0 311.939599
150.0  5.0  30.0 326.956355
150.0  5.0  40.0 323.877758
150.0  5.0  50.0 341.215234
150.0  5.0  60.0 345.599634
150.0  5.0  70.0 347.352022
150.0  5.0  80.0 341.657081
150.0  5.0  90.0 350.630331
150.0  5.0 100.0 362.348588
150.0  6.0  10.0 297.384891
150.0  6.0  20.0 309.462087
150.0  6.0  30.0 330.563424
150.0  6.0  40.0 335.791574
150.0  6.0  50.0 326.570661
150.0  6.0  60.0 327.488898
150.0  6.0  70.0 317.844349
150.0  6.0  80.0 346.804351
150.0  6.0  90.0 326.473520
150.0  6.0 100.0 345.920794
150.0  7.0  10.0 278.659482
150.0  7.0  20.0 297.200002
150.0  7.0  30.0 316.376783
150.0  7.0  40.0 292.959540
150.0  7.0  50.0 324.251231
150.0  7.0  60.0 305.782646
150.0  7.0  70.0 310.818489
150.0  7.0  80.0 305.508421
150.0  7.0  90.0 325.944686
150.0  7.0 100.0 306.188073
150.0  8.0  10.0 275.810732
150.0  8.0  20.0 275.941712
150.0  8.0  30.0 296.352398
150.0  8.0  40.0 281.425021
150.0  8.0  50.0 293.340437
150.0  8.0  60.0 292.576691
150.0  8.0  70.0 291.371660
150.0  8.0  80.0 310.858375
150.0  8.0  90.0 316.119841
150.0  8.0 100.0 317.210083
150.0  9.0  10.0 259.708837
150.0  9.0  20.0 273.676770
150.0  9.0  30.0 283.482294
150.0  9.0  40.0 294.157093
150.0  9.0  50.0 283.780555
150.0  9.0  60.0 288.788360
150.0  9.0  70.0 273.396528
150.0  9.0  80.0 277.726700
150.0  9.0  90.0 301.853618
150.0  9.0 100.0 298.826218
150.0 10.0  10.0 264.339496
150.0 10.0  20.0 255.366310
150.0 10.0  30.0 273.689422
150.0 10.0  40.0 280.048127
150.0 10.0  50.0 269.439913
150.0 10.0  60.0 280.266571
150.0 10.0  70.0 272.727016
150.0 10.0  80.0 272.933094
150.0 10.0  90.0 276.953433
150.0 10.0 100.0 282.832913
200.0  1.0  10.0 250.205200
200.0  1.0  20.0 245.709443
200.0  1.0  30.0 258.677114
200.0  1.0  40.0 281.267715
200.0  1.0  50.0 282.645464
200.0  1.0  60.0 288.294602
200.0  1.0  70.0 291.460868
200.0  1.0  80.0 271.285281
200.0  1.0  90.0 287.855882
200.0  1.0 100.0 274.231135
200.0  2.0  10.0 307.645557
200.0  2.0  20.0 308.762355
200.0  2.0  30.0 323.767695
200.0  2.0  40.0 340.680660
200.0  2.0  50.0 330.555856
200.0  2.0  60.0 330.814416
200.0  2.0  70.0 349.665913
200.0  2.0  80.0 347.229504
200.0  2.0  90.0 339.579501
200.0  2.0 100.0 345.767006
200.0  3.0  10.0 324.634712
200.0  3.0  20.0 361.189576
200.0  3.0  30.0 348.329965
200.0  3.0  40.0 352.532717
200.0  3.0  50.0 352.277230
200.0  3.0  60.0 375.163630
200.0  3.0  70.0 380.490653
200.0  3.0  80.0 360.427063
200.0  3.0  90.0 380.076846
200.0  3.0 100.0 368.508273
200.0  4.0  10.0 313.453891
200.0  4.0  20.0 350.080612
200.0  4.0  30.0 362.779902
200.0  4.0  40.0 367.208540
200.0  4.0  50.0 364.959411
200.0  4.0  60.0 367.697951
200.0  4.0  70.0 360.763078
200.0  4.0  80.0 367.349893
200.0  4.0  90.0 358.580550
200.0  4.0 100.0 362.536373
200.0  5.0  10.0 308.288506
200.0  5.0  20.0 320.744554
200.0  5.0  30.0 331.731876
200.0  5.0  40.0 354.626686
200.0  5.0  50.0 337.940255
200.0  5.0  60.0 334.303128
200.0  5.0  70.0 336.036081
200.0  5.0  80.0 341.323543
200.0  5.0  90.0 350.280810
200.0  5.0 100.0 362.984499
200.0  6.0  10.0 290.044254
200.0  6.0  20.0 297.053066
200.0  6.0  30.0 330.104827
200.0  6.0  40.0 332.296231
200.0  6.0  50.0 341.046517
200.0  6.0  60.0 327.943429
200.0  6.0  70.0 317.279520
200.0  6.0  80.0 345.223672
200.0  6.0  90.0 325.879434
200.0  6.0 100.0 341.315663
200.0  7.0  10.0 291.137797
200.0  7.0  20.0 303.599055
200.0  7.0  30.0 317.731649
200.0  7.0  40.0 294.285536
200.0  7.0  50.0 309.556396
200.0  7.0  60.0 313.071790
200.0  7.0  70.0 328.094761
200.0  7.0  80.0 313.774020
200.0  7.0  90.0 328.201223
200.0  7.0 100.0 330.436721
200.0  8.0  10.0 273.137642
200.0  8.0  20.0 289.204508
200.0  8.0  30.0 305.583542
200.0  8.0  40.0 297.636224
200.0  8.0  50.0 309.537460
200.0  8.0  60.0 289.762884
200.0  8.0  70.0 314.549153
200.0  8.0  80.0 290.028708
200.0  8.0  90.0 292.284109
200.0  8.0 100.0 307.369107
200.0  9.0  10.0 262.926224
200.0  9.0  20.0 258.848656
200.0  9.0  30.0 267.632667
200.0  9.0  40.0 287.294041
200.0  9.0  50.0 288.907990
200.0  9.0  60.0 276.908544
200.0  9.0  70.0 299.510913
200.0  9.0  80.0 304.836294
200.0  9.0  90.0 302.959151
200.0  9.0 100.0 302.928246
200.0 10.0  10.0 255.481623
200.0 10.0  20.0 250.477711
200.0 10.0  30.0 274.786498
200.0 10.0  40.0 270.136285
200.0 10.0  50.0 262.521759
200.0 10.0  60.0 267.343608
200.0 10.0  70.0 266.800212
200.0 10.0  80.0 265.003118
200.0 10.0  90.0 287.020771
200.0 10.0 100.0 267.897933
250.0  1.0  10.0 232.888619
250.0  1.0  20.0 269.399087
250.0  1.0  30.0 260.368391
250.0  1.0  40.0 286.959528
250.0  1.0  50.0 277.337407
250.0  1.0  60.0 268.986488
250.0  1.0  70.0 271.152601
250.0  1.0  80.0 277.976807
250.0  1.0  90.0 282.547169
250.0  1.0 100.0 277.922165
250.0  2.0  10.0 316.658613
250.0  2.0  20.0 316.777723
250.0  2.0  30.0 323.796890
250.0  2.0  40.0 318.726654
250.0  2.0  50.0 338.616688
250.0  2.0  60.0 328.887689
250.0  2.0  70.0 350.749649
250.0  2.0  80.0 332.322160
250.0  2.0  90.0 338.679900
250.0  2.0 100.0 325.874165
250.0  3.0  10.0 335.061699
250.0  3.0  20.0 357.536040
250.0  3.0  30.0 363.636680
